file,specimen_id,common_name,scientific_name,genus,family,order,class,location,source
Leptopelis_natalensis_ventral.jpg,,,Leptopelis natalensis,Leptopelis,Arthroleptidae,Anura,Amphibia,,
Megastomatohyla_mixe.jpg,,,Megastomatohyla mixe,Megastomatohyla,Hylidae,Anura,Amphibia,,
Megastomatohyla_mixe_ventral.jpg,,,Megastomatohyla mixe,Megastomatohyla,Hylidae,Anura,Amphibia,,
Meristogenys_ventral_live.jpg,,,Meristogenys,Meristogenys,Ranidae,Anura,Amphibia,,
Nyctimystes_cheesmani_tad_side.jpg,,,Nyctimystes cheesmani,Nyctimystes,Hylidae,Anura,Amphibia,,
Odontobatrachus_natator.jpg,,,Odontobatrachus natator,Odontobatrachus,Odontobatrachidae,Anura,Amphibia,,
Otophryne_robusta.jpg,,,Otophryne robusta,Otophryne,Microhylidae,Anura,Amphibia,,carried over
Otophryne_robusta_zoom.jpg,,,Otophryne robusta,Otophryne,Microhylidae,Anura,Amphibia,,carried over
Otophryne_sp.jpg,,,Otophryne sp,Otophryne,Microhylidae,Anura,Amphibia,,
Pelobatrachus.jpg,,,Pelobatrachus sp,Pelobatrachus,Megophryidae,Anura,Amphibia,,
Pelobatrachus_nasutus_Sabah_Malaysia_2024_above.jpg,,Long-nosed horned frog,Pelobatrachus nasutus,Pelobatrachus,Megophryidae,Anura,Amphibia,Sabah Malaysia 2024,claude-verify
Pelobatrachus_nasutus_Sabah_Malaysia_2024_side.jpg,,Long-nosed horned frog,Pelobatrachus nasutus,Pelobatrachus,Megophryidae,Anura,Amphibia,Sabah Malaysia 2024,claude-verify
Pelobatrachus_topdown.jpg,,,Pelobatrachus sp,Pelobatrachus,Megophryidae,Anura,Amphibia,,
Phrynobatrachus_natalensis_A139879_dorsal.jpg,A139879,,Phrynobatrachus natalensis,Phrynobatrachus,Phrynobatrachidae,Anura,Amphibia,,claude-verify
Phrynobatrachus_natalensis_A139879_side.jpg,A139879,,Phrynobatrachus natalensis,Phrynobatrachus,Phrynobatrachidae,Anura,Amphibia,,claude-verify
Phrynobatrachus_natalensis_A139879_ventral.jpg,A139879,,Phrynobatrachus natalensis,Phrynobatrachus,Phrynobatrachidae,Anura,Amphibia,,claude-verify
Polypedetes_sp_Sarawak_Malaysia.jpg,,Asian treefrog,Polypedates sp,Polypedates,Rhacophoridae,Anura,Amphibia,Sarawak Malaysia,claude-verify
Rhaebo_caeruleostictus.jpg,,,Rhaebo caeruleostictus,Rhaebo,Bufonidae,Anura,Amphibia,,claude-verify
Rhaebo_haematiticus_lateral.jpg,,,Rhaebo haematiticus,Rhaebo,Bufonidae,Anura,Amphibia,,claude-verify
Rhinella_amabilis.jpg,,,Rhinella amabilis,Rhinella,Bufonidae,Anura,Amphibia,,
Rhinella_chrysophora_1.jpg,,,Rhinella chrysophora,Rhinella,Bufonidae,Anura,Amphibia,,carried over
Rhinella_chrysophora_2.jpg,,,Rhinella chrysophora,Rhinella,Bufonidae,Anura,Amphibia,,carried over
Rhinella_veraguensis.jpg,,,Rhinella veraguensis,Rhinella,Bufonidae,Anura,Amphibia,,carried over
Schismaderma_carens.jpg,,African red toad,Schismaderma carens,Schismaderma,Bufonidae,Anura,Amphibia,,claude-verify
Schismaderma_carens_Limpopo_23.jpg,,African red toad,Schismaderma carens,Schismaderma,Bufonidae,Anura,Amphibia,Limpopo,claude-verify
Schismaderma_carens_Limpopo_23_2.jpg,,African red toad,Schismaderma carens,Schismaderma,Bufonidae,Anura,Amphibia,Limpopo,claude-verify
Schismaderma_carens_Limpopo_South_Africa_2023_1.jpg,,African red toad,Schismaderma carens,Schismaderma,Bufonidae,Anura,Amphibia,Limpopo South Africa 2023,claude-verify
Schismaderma_carens_Mpumalanga_small_individual_2023.jpg,,African red toad,Schismaderma carens,Schismaderma,Bufonidae,Anura,Amphibia,Mpumalanga,claude-verify
Sclerophrys_sp_KZN_South_Africa_2023.jpg,,,Sclerophrys sp,Sclerophrys,Bufonidae,Anura,Amphibia,KZN South Africa 2023,claude-verify
Sooglossus_seychellensis.jpg,,,Sooglossus seychellensis,Sooglossus,Sooglossidae,Anura,Amphibia,,
Telmatobius_atahualpai_1.jpg,,,Telmatobius atahualpai,Telmatobius,Telmatobiidae,Anura,Amphibia,,
Telmatobius_atahualpai_2.jpg,,,Telmatobius atahualpai,Telmatobius,Telmatobiidae,Anura,Amphibia,,
Thoropa_petropolitana.jpg,,,Thoropa petropolitana,Thoropa,Cycloramphidae,Anura,Amphibia,,claude-verify
Trichobatrachus_robustus_1.jpg,,,Trichobatrachus robustus,Trichobatrachus,Arthroleptidae,Anura,Amphibia,,
Trichobatrachus_robustus_2.jpg,,,Trichobatrachus robustus,Trichobatrachus,Arthroleptidae,Anura,Amphibia,,
Werneria_1.jpg,,,Werneria bambutensis,Werneria,Bufonidae,Anura,Amphibia,,
Werneria_2.jpg,,,Werneria bambutensis,Werneria,Bufonidae,Anura,Amphibia,,
Xenopus_laevis.jpg,,African clawed frog,Xenopus laevis,Xenopus,Pipidae,Anura,Amphibia,,claude-verify
ascaphus_mouthparts.jpg,,Tailed frog,Ascaphus,Ascaphus,Ascaphidae,Anura,Amphibia,,claude-verify
hadro.jpg,,,Hadromophryne natalensis,Hadromophryne,Heleophrynidae,Anura,Amphibia,,
Ansonia_sp_Sarawak_Malaysia.jpg,,,Ansonia sp,Ansonia,Bufonidae,Anura,Amphibia,Sarawak Malaysia,claude-verify
Meristogenys_sp_Sarawak_Malaysia.jpg,,,Meristogenys sp,Meristogenys,Ranidae,Anura,Amphibia,Sarawak Malaysia,claude-verify
Anura_Microhylidae_Borneo_Highlands_Sarawak_Malaysia.jpg,,,,,Microhylidae,Anura,Amphibia,Borneo Highlands Sarawak Malaysia,claude-verify
Nyctixalus_pictus_Tawau_Sabah_Malaysia.jpg,,Cinnamon frog,Nyctixalus pictus,Nyctixalus,Rhacophoridae,Anura,Amphibia,Tawau Sabah Malaysia,claude-verify
